dt	Mode	dhsl	pCa
0.000839295436393185	-2	5	9
0.000839295436393185	-2	0.0013275506867142	9
0.000839295436393185	-2	0.00126365786408567	9
0.000839295436393185	-2	0.00119976504145747	9
0.000839295436393185	-2	0.00113587221882819	9
0.000839295436393185	-2	0.00107197939620037	9
0.000839295436393185	-2	0.00100808657357079	9
0.000839295436393185	-2	0.000944193750943163	9
0.000839295436393185	-2	0.000880300928313751	9
0.000839295436393185	-2	0.00081640810568588	9
0.000839295436393185	-2	0.00075251528305672	9
0.000839295436393185	-2	0.00068862246042842	9
0.000839295436393185	-2	0.00062472963779966	9
0.000839295436393185	-2	0.00056083681517124	9
0.000839295436393185	-2	0.00049694399254243	9
0.000839295436393185	-2	0.000433051169913961	9
0.000839295436393185	-2	0.000369158347285219	9
0.000839295436393185	-2	0.000477116579127961	9
0.000839295436393185	-2	0.00063529511694475	9
0.000839295436393185	-2	-0.00045829976091978	9
0.000839295436393185	-2	-0.00104051954896459	9
0.000839295436393185	-2	-0.00108766537869318	9
0.000839295436393185	-2	-0.00045129335458597	9
0.000839295436393185	-2	0.00036320239865537	9
0.000839295436393185	-2	0.00038281250776726	9
0.000839295436393185	-2	0.00010153634826785	9
0.000839295436393185	-2	0.00059222451682061	9
0.000839295436393185	-2	0.00026672045252681	9
0.000839295436393185	-2	-1.06655661682806e-05	9
0.000839295436393185	-2	-6.49861133997197e-05	9
0.000839295436393185	-2	9.76384485128204e-05	9
0.000839295436393185	-2	0.0003135119498047	9
0.000839295436393185	-2	0.00082904609756509	9
0.000839295436393185	-2	0.00078208631726859	9
0.000839295436393185	-2	0.000224671394789969	9
0.000839295436393185	-2	9.49769630555312e-05	9
0.000839295436393185	-2	0.00021496728048725	9
0.000839295436393185	-2	-0.000329054503811571	9
0.000839295436393185	-2	-0.00032377439538131	9
0.000839295436393185	-2	0.00042581590587794	9
0.000839295436393185	-2	0.00097639619920826	9
0.000839295436393185	-2	0.000872619171555981	9
0.000839295436393185	-2	0.0004808208031134	9
0.000839295436393185	-2	0.0004838380179843	9
0.000839295436393185	-2	-0.000216910308227	9
0.000839295436393185	-2	-0.000118570580770701	9
0.000839295436393185	-2	0.000113651719230201	9
0.000839295436393185	-2	0.000456068019283499	9
0.000839295436393185	-2	-0.0002774415453351	9
0.000839295436393185	-2	-0.0006447310249083	9
0.000839295436393185	-2	-0.0002041638794637	9
0.000839295436393185	-2	-0.00046239113477177	9
0.000839295436393185	-2	-0.00094100597496645	9
0.000839295436393185	-2	-7.71039299269898e-05	9
0.000839295436393185	-2	0.00117216932423335	9
0.000839295436393185	-2	0.000163177241996061	9
0.000839295436393185	-2	-0.00044900218748083	9
0.000839295436393185	-2	-0.00018289204943794	9
0.000839295436393185	-2	0.000142607077981621	9
0.000839295436393185	-2	-0.000282622902204821	9
0.000839295436393185	-2	-0.00043727455996082	9
0.000839295436393185	-2	-6.71491962397908e-06	9
0.000839295436393185	-2	-0.00072560144857982	9
0.000839295436393185	-2	-0.00044813976516093	9
0.000839295436393185	-2	-0.00050464238618809	9
0.000839295436393185	-2	-0.00068899471236445	9
0.000839295436393185	-2	-0.000922556351518671	9
0.000839295436393185	-2	-1.52492304841901e-05	9
0.000839295436393185	-2	0.000534076227638291	9
0.000839295436393185	-2	0.00022877517592532	9
0.000839295436393185	-2	-0.00021659381693511	9
0.000839295436393185	-2	-0.00015240021436704	9
0.000839295436393185	-2	-0.00050260097988054	9
0.000839295436393185	-2	-0.00079387444349093	9
0.000839295436393185	-2	-0.00077071873672803	9
0.000839295436393185	-2	-6.64184156901199e-05	9
0.000839295436393185	-2	-0.00015873466390522	9
0.000839295436393185	-2	-0.00082938794531882	9
0.000839295436393185	-2	-0.00037201446235502	9
0.000839295436393185	-2	-0.00028446439853308	9
0.000839295436393185	-2	-0.00017735237683772	9
0.000839295436393185	-2	-0.00032974457186302	9
0.000839295436393185	-2	-0.00010958727122425	9
0.000839295436393185	-2	-0.00023531091833071	9
0.000839295436393185	-2	0.00021536012618736	9
0.000839295436393185	-2	0.00053747361349728	9
0.000839295436393185	-2	0.00054003137181292	9
0.000839295436393185	-2	0.00015435529047276	9
0.000839295436393185	-2	-0.00015449569405097	9
0.000839295436393185	-2	0.0001175595912601	9
0.000839295436393185	-2	3.341598124088e-05	9
0.000839295436393185	-2	0.00028865461191555	9
0.000839295436393185	-2	7.76220589282298e-05	9
0.000839295436393185	-2	8.67243249762103e-05	9
0.000839295436393185	-2	-7.50624743561502e-05	9
0.000839295436393185	-2	0.00046599367010101	9
0.000839295436393185	-2	0.0007785686272084	9
0.000839295436393185	-2	0.00043022799709872	9
0.000839295436393185	-2	0.00065943197028826	9
0.000839295436393185	-2	0.00031393017307947	9
0.000839295436393185	-2	0.00021146241292868	9
0.000839295436393185	-2	-0.00071926666123698	9
0.000839295436393185	-2	-0.00016908993186697	9
0.000839295436393185	-2	-0.00027163449683217	9
0.000839295436393185	-2	3.92189690502894e-05	9
0.000839295436393185	-2	0.00041882394069309	9
0.000839295436393185	-2	0.00107747836559966	9
0.000839295436393185	-2	0.00121001432563452	9
0.000839295436393185	-2	0.00074853754361065	9
0.000839295436393185	-2	0.00036413477468911	9
0.000839295436393185	-2	0.00022318614513874	9
0.000839295436393185	-2	0.000100250674310159	9
0.000839295436393185	-2	0.00010976879548146	9
0.000839295436393185	-2	0.00055798244133538	9
0.000839295436393185	-2	4.54268192566915e-05	9
0.000839295436393185	-2	-5.667943009449e-05	9
0.000839295436393185	-2	0.000548005458285669	9
0.000839295436393185	-2	0.000560857028747501	9
0.000839295436393185	-2	-0.000850740591589211	9
0.000839295436393185	-2	-0.0005808741326482	6.5
0.000839295436393185	-2	-0.000201858179720869	6.5
0.000839295436393185	-2	-0.0003038807907509	6.5
0.000839295436393185	-2	-0.000100191076420239	6.5
0.000839295436393185	-2	0.000521312662326419	6.5
0.000839295436393185	-2	0.000591075896544981	6.5
0.000839295436393185	-2	-0.00046614159335155	6.5
0.000839295436393185	-2	-8.79592402657902e-05	6.5
0.000839295436393185	-2	-0.00014911345953238	6.5
0.000839295436393185	-2	-0.000539070394985089	6.5
0.000839295436393185	-2	-0.00120540175087021	6.5
0.000839295436393185	-2	-0.00135308462176704	6.5
0.000839295436393185	-2	-0.00073878277620384	6.5
0.000839295436393185	-2	-0.00137029014937997	6.5
0.000839295436393185	-2	-0.00076259062188936	6.5
0.000839295436393185	-2	-0.00014955241204899	6.5
0.000839295436393185	-2	0.00040036554488066	6.5
0.000839295436393185	-2	-7.09983887864402e-05	6.5
0.000839295436393185	-2	0.00042011668039807	6.5
